"","Model","MAE","MAPE","RMSE"
"110","Linear Model",252.12,0.152762502879312,363.83
"214","Linear w/ lag",44.93,0.0261537112424306,96.33
"319","ARIMA",117.3,0.0691067679903516,232.75
"419","Stacked Model",42.71,0.0261703001187475,52.69
"510","Stacked Model w/ Polynomial",44.87,0.0273390274661921,55.63
"111","Linear Model",245.72,0.145267342014568,348.19
"215","Linear w/ lag",43.6,0.0242389520635975,122.03
"320","ARIMA",107.42,0.062616143835443,225.71
"420","Stacked Model",42,0.0254208996306683,54.5
"511","Stacked Model w/ Polynomial",43.38,0.0261265355458861,56.36
"112","Linear Model",241.3,0.138773973936889,371.6
"216","Linear w/ lag",38.24,0.0210244842604351,98.15
"321","ARIMA",105.86,0.0622575014115652,232.88
"421","Stacked Model",40.09,0.0236402230624609,50.48
"512","Stacked Model w/ Polynomial",41.54,0.0243910934437774,52.93
"113","Linear Model",244.82,0.140944439976851,349.62
"217","Linear w/ lag",47.88,0.0263878186592951,141.96
"322","ARIMA",110.8,0.0641775153142212,225.98
"422","Stacked Model",36.09,0.02190545338037,45.73
"513","Stacked Model w/ Polynomial",37.67,0.0228119356363213,47.89
"114","Linear Model",241.79,0.139845252017604,337.51
"218","Linear w/ lag",42.06,0.0239354453050227,96.04
"323","ARIMA",107.85,0.0640963780393598,218.92
"423","Stacked Model",42.98,0.0260708001158799,55.09
"514","Stacked Model w/ Polynomial",44.69,0.0270361126537153,57.2
"115","Linear Model",240.05,0.141295397784012,335.37
"219","Linear w/ lag",46.28,0.0257777756512885,139.66
"324","ARIMA",109.25,0.0648414038012481,218.21
"424","Stacked Model",37.14,0.0213676208937794,48.39
"515","Stacked Model w/ Polynomial",39.03,0.0224950477823423,50.95
"116","Linear Model",246.61,0.144817909579639,367.11
"220","Linear w/ lag",47.76,0.0265115772692112,136.98
"325","ARIMA",113.15,0.0673741437830355,233.62
"425","Stacked Model",48.43,0.0287761743228105,61.51
"516","Stacked Model w/ Polynomial",49.42,0.0293927964700474,62.86
"117","Linear Model",255.74,0.151509247164856,349.12
"221","Linear w/ lag",57.62,0.0315078532677501,176.62
"326","ARIMA",105.83,0.0615876124852803,220.67
"426","Stacked Model",40.27,0.0240762144719886,51.31
"517","Stacked Model w/ Polynomial",42.29,0.0252044528022045,53.89
"118","Linear Model",252.49,0.145281773358219,359.13
"222","Linear w/ lag",42.15,0.0237117076151132,93.57
"327","ARIMA",112.97,0.0665822109413679,230.42
"427","Stacked Model",49.76,0.0292090656882716,63.23
"518","Stacked Model w/ Polynomial",51.1,0.0299206337099613,65.07
"119","Linear Model",248.65,0.146721421689318,365.72
"223","Linear w/ lag",47.33,0.0271794467072289,125.55
"328","ARIMA",114.3,0.0671189960726389,233.73
"428","Stacked Model",36.06,0.0210860512034768,46.11
"519","Stacked Model w/ Polynomial",37.59,0.0219734819742455,48.65
"120","Linear Model",252.59,0.147915227248266,348.96
"224","Linear w/ lag",37.16,0.0210432718125548,94.89
"329","ARIMA",110.32,0.0642251951123665,224.63
"429","Stacked Model",43.76,0.0250922778883231,55.61
"520","Stacked Model w/ Polynomial",45.15,0.0259088797735849,57.54
